CODE;PARENT_CODE;TYPE_CODE;NAME.RU.NAME;NAME.EN.NAME;NAME.UA.NAME;EXT.YAMARKET.0;EXT.ZIP.0;LONGITUDE;LATITUDE;EXT.ZIP_LOWER
0000028061;0000028060;REGION;Республика Дагестан;;;11010;368000;;;
0000028062;0000028060;REGION;Кабардино-Балкарская Республика;;;11013;;;;
0000028063;0000028060;REGION;Республика Северная Осетия-Алания;;;11021;;;;
0000028064;0000028060;REGION;Ставропольский край;;;11069;;;;
0000028065;0000028060;REGION;Республика Ингушетия;;;11012;386000;;;
0000028066;0000028060;REGION;Карачаево-Черкесская Республика;;;11020;;;;
0000028067;0000028060;REGION;Чеченская Республика;;;11024;;;;
0000028068;0000028023;COUNTRY_DISTRICT;Поволжье;;;40;;;;
0000028069;0000028068;REGION;Республика Мордовия;;;11117;;;;
0000028070;0000028068;REGION;Республика Татарстан;;;11119;420000;;;
0000028071;0000028068;REGION;Республика Марий Эл;;;11077;;;;
0000028072;0000028068;REGION;Кировская область;;;11070;610000;;;
0000028073;0000028068;REGION;Нижегородская область;;;11079;;;;
0000028074;0000028068;REGION;Удмуртская Республика;;;11148;;;;
0000028075;0000028068;REGION;Чувашская Республика;;;11156;;;;
0000028076;0000028068;REGION;Самарская область;;;11131;;;;
0000028077;0000028068;REGION;Пермский край;;;11108;614000;;;
0000028078;0000028068;REGION;Пензенская область;;;11095;;;;
0000028079;0000028068;REGION;Оренбургская область;;;11084;460000;;;
0000028080;0000028068;REGION;Республика Башкортостан;;;11111;450000;;;
0000028081;0000028068;REGION;Ульяновская область;;;11153;433000;;;
0000028082;0000028068;REGION;Саратовская область;;;11146;410000;;;
0000028083;0000028023;COUNTRY_DISTRICT;Урал;;;52;;;;
0000028084;0000028083;REGION;Тюменская область;;;11176;;;;
0000028085;0000028083;REGION;Свердловская область;;;11162;620000;;;
0000028086;0000028083;REGION;Курганская область;;;11158;641000;;;
0000028087;0000028083;REGION;Ямало-Ненецкий автономный округ;;;11232;629000;;;
0000028088;0000028083;REGION;Ханты-Мансийский автономный округ;;;11193;;;;
0000028089;0000028083;REGION;Челябинская область;;;11225;454000;;;
0000028090;0000028023;COUNTRY_DISTRICT;Сибирь;;;59;;;;
0000028091;0000028090;REGION;Иркутская область;;;11266;;;;
0000028092;0000028090;REGION;Красноярский край;;;11309;;;;
0000028093;0000028090;REGION;Забайкальский край;;;21949;;;;
0000028094;0000028090;REGION;Кемеровская область;;;11282;;;;
0000028095;0000028090;REGION;Новосибирская область;;;11316;;;;
0000028096;0000028090;REGION;Омская область;;;11318;;;;
0000028097;0000028090;REGION;Томская область;;;11353;;;;
0000028098;0000028090;REGION;Алтайский край;;;11235;;;;
0000028099;0000028090;REGION;Республика Бурятия;;;11330;670000;;;
0000028100;0000028090;REGION;Республика Хакасия;;;11340;655000;;;
0000028101;0000028090;REGION;Республика Тыва;;;10233;660000;;;
0000028102;0000028090;REGION;Республика Алтай;;;10231;649000;;;
0000028103;0000028023;COUNTRY_DISTRICT;Дальний Восток;;;73;;;;
0000028104;0000028103;REGION;Хабаровский край;;;11457;;;;
0000028105;0000028103;REGION;Амурская область;;;11375;675000;;;
0000028106;0000028103;REGION;Камчатский край;;;11398;;;;
0000028107;0000028103;REGION;Магаданская область;;;11403;;;;
0000028108;0000028103;REGION;Республика Саха (Якутия);;;11443;;;;
0000028109;0000028103;REGION;Приморский край;;;11409;;;;
0000028110;0000028103;REGION;Сахалинская область;;;11450;693000;;;
0000028111;0000028103;REGION;Еврейская автономная область;;;10243;;;;
0000028112;0000028103;REGION;Чукотский автономный округ;;;10251;;;;
0000028114;0000028053;REGION;Крым;;;977;;;;
0000073738;0000028024;CITY;Москва;;;213;101000;;;105066,109202,141411,117418,117630,129110,119027,123317,105275,127206,129515,119034,115419,125080,109651,109240,119049,127055,125167,123104,109052,117593,123103,109125,129090,129347,127006,121099,125047,121069,109004,105203,115184,127591,107076,101000,109444,117624,119180,127473,119633,115191,121374,117463,109147,127051,111020,105062,127486,127081,109428,119121,125466,119619,109507,111621,109472,125438,123098,129329,123060,117042,105120,115172,117556,125252,129085,129626,129327,121357,107150,127411,107078,109462,117452,119618,125315,115035,107258,117105,127273,127253,107014,123056,107045,117546,125009,125319,125424,119071,121500,115088,129301,107023,119334,129337,117628,117623,123182,119072,127490,127220,115522,119048,109383,125364,107564,117403,121433,105187,129323,127018,111250,105118,123557,123290,121596,105082,121059,127322,109180,129336,119017,109153,121471,105094,119602,123001,105568,119019,127106,115404,121151,123242,115054,117321,107061,125599,127521,117465,115516,115432,109341,109316,127550,119002,109028,121170,111396,115280,127276,125445,121552,107140,105037,109235,119270,125371,117437,117588,119435,129226,127238,117393,125040,115597,121087,117405,125171,127015,127434,117574,117534,111033,109544,123007,111116,129128,115114,109387,123022,125130,105005,121467,129164,125363,119607,109380,109548,129272,117036,111672,127287,107113,127560,107497,127572,125476,119285,117513,125310,119234,117535,127083,129281,109044,115547,121354,107143,125373,127543,117292,125635,117303,127247,115093,119634,115487,119311,119421,115569,123308,109456,117545,143400,129345,115304,111538,107174,129343,121248,115201,127427,127254,119361,111674,107370,127566,111024,111402,125284,117638,111141,105064,121353,127410,109129,125057,115477,125480,109012,115162,125183,109382,111394,129344,125222,125239,127282,111398,107065,109559,119501,119136,125413,115598,117525,121108,115142,109386,127540,121355,107031,109145,105043,115230,111558,123298,123100,103274,141700,109429,111625,125362,117186,125581,121352,105425,109377,115612,123592,143350,121351,105122,119296,125212,125481,105484,111123,105318,117133,129075,141431,123458,117449,115573,109518,117312,119590,125008,115563,115533,117420,111524,123181,115193,119333,127549,115470,127204,107392,125367,119620,109029,125430,107589,119297,121309,115583,111622,117216,123154,129346,125493,127349,121609,109652,119530,119146,121601,121096,111395,121165,127562,115478,127474,109156,127422,115406,119021,117647,141400,115409,111539,115408,119192,121359,127642,117148,125627,117152,119330,107553,129594,119261,125464,125412,111555,117246,107241,127576,109388,111673,111399,129366,125475,117198,109457,127224,115211,111675,129223,109443,127299,115068,117447,109649,109391,125368,111531,105523,115446,115582,119606,115580,127644,117209,142750,142791,142780,142793,142131,142770,124489,142784,143082,142160,142150,125414,142002,105173,117648,143411,123423,121115,143000,124460,124365,124681,124482,124617,124527,124498,124575,124305,142190,142191,142136,142137,143381,143380,142165,142161,142170,142172,142171,142713,142760,142783,143025,143397,143396,143390,143344,143340,143333,142140,124150,142704,142771,142782,143391,143330,143320,143323,142167,142138,142144,142145,142762,131337,142712,142730,142102,142134
0000103664;0000028042;CITY;Санкт-Петербург;;;2;190000;;;197198,197229,194214,195030,190000,194356,191180,191015,192288,198218,190020,191167,197022,197341,192102,197375,199155,197110,192177,194044,198323,191023,191124,193318,191014,198326,198184,198097,195043,198035,195009,195027,190013,190121,190068,197349,190031,195197,198205,199034,192289,190005,195257,198261,191119,195427,192019,194292,194352,197343,197046,199004,199178,191028,194064,198095,195248,194017,192076,197101,195221,192012,198216,195067,194358,199406,198099,199106,195273,194156,197183,194021,191036,197342,198207,195298,190103,191186,195196,195220,195176,191187,192007,198264,198152,195112,192171,193230,195299,198328,191024,199226,192283,192281,196084,197374,194223,195213,197136,192029,194100,198260,195271,193231,192174,191011,198096,191060,193232,194355,191123,197372,197371,192241,198206,194354,197348,191144,190098,194291,198329,198188,198332,197373,197082,195253,191002,191025,192148,195265,198255,197227,191040,193168,198302,192284,193315,196210,196158,196135,196066,196240,196105,195279,193079,193149,195256,197720,197760,197762,197761,198320,198325,196645,197733,194361,196650,196655,196658,196653,196657,196652,197729,197758,194362,194294,198515,197730,196631,196644,196626,196634,196627,197755,196641,196642,197739,196625,196643,197738,197701,197706,197704,196601,196602,196632,196605,196608,196620,196607,196603,196621,198504,198510,198517,198516,198411,198412
